iter	RMSE
0	691851.7255
1	691773.0319
2	691703.4774
3	691640.6285
4	691579.1622
5	691530.069
6	691466.3903
7	691392.8304
8	691324.5794
9	691255.4896
10	691192.7176
11	691127.8234
12	691062.4196
13	691026.125
14	690961.8914
15	690905.3841
16	690829.8794
17	690784.4135
18	690744.0127
19	690689.9178
20	690635.6621
21	690588.7957
22	690534.0467
23	690477.4497
24	690420.3811
25	690370.813
26	690324.642
27	690268.8251
28	690218.2139
29	690157.6854
30	690115.4848
31	690069.0623
32	690003.2922
33	689959.4204
34	689901.4578
35	689833.7253
36	689781.9771
37	689727.5838
38	689677.0348
39	689627.9671
40	689579.596
41	689528.7539
42	689487.4922
43	689435.7351
44	689396.8005
45	689340.0875
46	689300.9547
47	689244.3991
48	689206.3269
49	689162.0761
50	689109.5593
51	689061.1779
52	688994.6847
53	688927.2097
54	688881.4342
55	688817.4837
56	688766.9203
57	688711.509
58	688658.4894
59	688590.8554
60	688554.1503
61	688493.3944
62	688430.5698
63	688390.3949
64	688338.6421
65	688303.6228
66	688243.7669
67	688189.7318
68	688117.3283
69	688072.7202
70	688025.444
71	687978.674
72	687930.6723
73	687866.2953
74	687824.9367
75	687790.2358
76	687751.5395
77	687693.3334
78	687644.952
79	687596.782
80	687558.1818
81	687500.882
82	687449.4504
83	687398.8689
84	687343.6488
85	687299.6911
86	687243.884
87	687197.3233
88	687156.2528
89	687110.2192
90	687049.2387
91	687010.6982
92	686961.2081
93	686912.2975
94	686871.2892
95	686807.4674
96	686760.9773
97	686717.4532
98	686662.39
99	686606.0391
100	686565.3282
101	686495.0512
102	686447.8098
103	686391.6936
104	686362.2389
105	686328.3106
106	686288.4519
107	686251.702
108	686209.9442
109	686141.8804
110	686094.7639
111	686025.5143
112	685957.9591
113	685909.0796
114	685863.542
115	685824.6494
116	685780.1539
117	685722.5021
118	685661.2645
119	685616.1937
120	685581.2789
121	685531.4197
122	685496.0017
123	685445.8374
124	685387.2759
125	685347.6993
126	685304.4053
127	685251.2004
128	685166.8023
129	685113.3953
130	685067.418
131	685006.8653
132	684959.3673
133	684895.6127
134	684844.9862
135	684804.2426
136	684740.7275
137	684676.9746
138	684629.0949
139	684574.0704
140	684506.5587
141	684440.6688
142	684388.5297
143	684340.0667
144	684291.7663
145	684232.1595
146	684175.1163
147	684119.0413
148	684057.5737
149	684020.5048
150	683945.4409
151	683878.6783
152	683820.6531
153	683765.6151
154	683711.5262
155	683659.5386
156	683616.7464
157	683564.9489
158	683520.8658
159	683466.1809
160	683415.7012
161	683354.3985
162	683305.8768
163	683254.1873
164	683184.2334
165	683121.1602
166	683066.3734
167	683005.2931
168	682952.3205
