iter	Passed	Remaining
0	143	143440
1	151	75563
2	159	53151
3	167	41717
4	175	35009
5	185	30707
6	196	27847
7	205	25450
8	213	23524
9	222	22049
10	230	20727
11	239	19718
12	248	18842
13	257	18162
14	267	17542
15	276	16992
16	286	16586
17	297	16216
18	308	15922
19	320	15708
20	332	15506
21	341	15196
22	352	14972
23	364	14825
24	377	14703
25	386	14460
26	395	14250
27	404	14032
28	413	13843
29	421	13640
30	431	13501
31	443	13410
32	451	13231
33	463	13180
34	476	13142
35	488	13082
36	500	13029
37	510	12925
38	522	12869
39	534	12816
40	545	12755
41	574	13098
42	589	13125
43	600	13038
44	609	12938
45	620	12867
46	631	12801
47	640	12704
48	651	12638
49	660	12558
50	670	12471
51	679	12388
52	688	12302
53	697	12219
54	707	12158
55	716	12077
56	728	12046
57	739	12008
58	749	11949
59	760	11919
60	775	11931
61	787	11912
62	799	11895
63	811	11874
64	824	11864
65	838	11870
66	850	11848
67	866	11869
68	880	11885
69	892	11850
70	905	11842
71	918	11834
72	933	11857
73	946	11841
74	958	11815
75	968	11774
76	980	11757
77	992	11733
78	1004	11707
79	1017	11705
80	1031	11702
81	1046	11711
82	1065	11775
83	1082	11807
84	1099	11837
85	1130	12011
86	1150	12070
87	1169	12117
88	1183	12114
89	1200	12133
90	1215	12139
91	1248	12324
92	1274	12432
93	1295	12486
94	1325	12626
95	1346	12683
96	1366	12717
97	1382	12723
98	1397	12716
99	1410	12697
100	1423	12672
101	1436	12650
102	1450	12634
103	1462	12597
104	1474	12570
105	1487	12546
106	1501	12527
107	1511	12484
108	1524	12463
109	1537	12441
110	1551	12422
111	1564	12401
112	1576	12374
113	1588	12346
114	1601	12325
115	1613	12298
116	1625	12266
117	1637	12241
118	1650	12217
119	1664	12209
120	1678	12191
121	1691	12175
122	1703	12143
123	1715	12119
124	1728	12102
125	1741	12082
126	1752	12047
127	1764	12019
128	1775	11988
129	1788	11966
130	1799	11934
131	1810	11902
132	1822	11882
133	1835	11863
134	1848	11844
135	1859	11815
136	1870	11782
137	1881	11755
138	1891	11719
139	1902	11688
140	1914	11660
141	1924	11626
142	1935	11596
143	1946	11568
144	1956	11534
145	1966	11503
146	1977	11472
147	1986	11435
148	1997	11405
149	2007	11375
150	2017	11342
151	2030	11326
152	2043	11311
153	2056	11295
154	2068	11274
155	2080	11258
156	2093	11240
157	2105	11220
158	2118	11203
159	2129	11181
160	2141	11161
161	2153	11139
162	2165	11121
163	2178	11104
164	2190	11084
165	2204	11074
166	2220	11075
167	2232	11057
168	2244	11037
169	2254	11009
170	2265	10983
171	2278	10968
172	2290	10948
173	2302	10931
174	2317	10925
175	2331	10915
176	2345	10905
177	2358	10889
178	2374	10890
179	2388	10880
180	2401	10868
181	2412	10843
182	2424	10824
183	2435	10799
184	2445	10772
185	2456	10750
186	2467	10729
187	2477	10701
188	2488	10676
189	2498	10652
190	2509	10627
191	2519	10601
192	2530	10579
193	2540	10553
194	2553	10540
195	2566	10529
196	2580	10519
197	2594	10510
198	2607	10496
199	2619	10476
200	2631	10461
201	2645	10450
202	2660	10445
203	2673	10433
204	2688	10427
205	2702	10417
206	2715	10403
207	2729	10393
208	2743	10384
209	2760	10386
210	2774	10374
211	2788	10363
212	2801	10352
213	2815	10340
214	2828	10327
215	2841	10312
216	2854	10298
217	2866	10283
218	2879	10269
219	2894	10260
220	2906	10246
221	2920	10234
222	2938	10239
223	2950	10219
224	2965	10213
225	2979	10204
226	2994	10195
